index,Age,Education Level,Gender,Height,Weight,Criminal Level,Marital Status,Parent Situation,Child Situation,Terrain,Road Condition,Wind Speed,Weather,Human,Video Result,Heart Speed
1,49.0,高中及以上,男,175.3,98.4,重,丧偶,有一父或一母,没有孩子,平原,通畅,狂风,晴,小,0.057,128.0
2,29.0,高中及以上,男,177.8,88.0,重,丧偶,父母双亡,有一子女,平原,通畅,烈风,雷阵雨,中,0.32899999999999996,120.0
3,24.0,初中,男,175.3,89.8,中,未婚,父母双亡,没有孩子,平原,堵车,软风,中雪,小,0.20600000000000002,118.0
4,31.0,高中及以上,男,175.3,91.6,重,离异,有一父或一母,有一子女,平原,堵车,狂风,冻雨,中,0.442,103.0
6,32.0,小学及以下,男,172.7,72.1,中,离异,父母双亡,有多个子女,有山,堵车,微风,晴,中,0.9740000000000001,114.0
8,51.0,高中及以上,男,170.2,88.0,中,丧偶,父母健在,有一子女,有山,通畅,烈风,暴雨,中,0.43700000000000006,117.0
9,24.0,初中,男,180.3,81.6,重,离异,父母健在,没有孩子,有山,通畅,狂风,中雨,大,0.18600000000000003,129.0
10,21.0,高中及以上,男,180.3,73.0,轻,离异,父母健在,有一子女,有山,通畅,软风,大到暴雪,大,0.563,101.0
11,28.0,高中及以上,男,172.7,89.8,轻,未婚,有一父或一母,没有孩子,平原,堵车,和风,大到暴雪,中,0.7490000000000001,126.0
12,46.0,高中及以上,男,182.9,85.3,轻,丧偶,父母双亡,有一子女,有山,堵车,强风,暴雨,小,0.106,119.0
13,47.0,高中及以上,男,193.0,81.2,重,未婚,有一父或一母,没有孩子,有山,堵车,和风,冻雨,小,0.579,99.0
14,42.0,高中及以上,男,177.8,89.8,中,已婚,父母健在,有多个子女,有山,堵车,软风,中雨,小,0.086,126.0
16,34.0,初中,男,188.0,99.3,重,丧偶,父母双亡,有一子女,有山,堵车,强风,霜冻,中,0.48,126.0
18,45.0,初中,男,172.7,102.1,重,未婚,父母健在,没有孩子,平原,通畅,软风,小雨,中,0.919,110.0
20,24.0,初中,男,167.6,67.6,重,丧偶,父母双亡,有一子女,平原,堵车,劲风,中雨,大,0.299,100.0
21,40.0,初中,男,177.8,134.3,轻,未婚,父母健在,没有孩子,平原,堵车,微风,雷阵雨,大,0.278,91.0
22,27.0,高中及以上,男,167.6,70.3,重,未婚,父母双亡,没有孩子,平原,堵车,微风,阴天,中,0.16699999999999998,103.0
24,22.0,初中,男,177.8,88.0,轻,已婚,父母健在,有一子女,平原,通畅,和风,大到暴雪,中,0.191,98.0
26,20.0,初中,男,165.1,83.0,轻,丧偶,有一父或一母,没有孩子,平原,堵车,软风,小雪,中,0.669,111.0
27,22.0,初中,男,170.2,63.5,轻,离异,父母双亡,没有孩子,有山,堵车,暴风,小雪,大,0.094,117.0
28,20.0,高中及以上,男,175.3,81.2,轻,离异,父母健在,有一子女,有山,堵车,疾风,多云,中,0.828,114.0
30,31.0,高中及以上,男,177.8,100.7,重,未婚,父母健在,没有孩子,有山,通畅,轻风,雾,中,0.986,99.0
31,31.0,初中,男,172.7,88.5,中,丧偶,父母双亡,没有孩子,有山,通畅,劲风,雨夹雪,大,0.6559999999999999,101.0
