index,Age,Education Level,Gender,Height,Weight,Criminal Level,Marital Status,Parent Situation,Child Situation,Terrain,Road Condition,Wind Speed,Weather,Human,Video Result,Heart Speed
0,30,初中,男,165.1,80.3,轻,已婚,父母健在,有多个子女,平原,通畅,狂风,大到暴雪,大,0.394,[74 65]
1,49,高中及以上,男,175.3,98.4,中,未婚,父母健在,没有孩子,有山,堵车,台风,多云,中,0.321,[79 63]
2,29,高中及以上,男,177.8,88.0,轻,未婚,父母健在,没有孩子,平原,通畅,台风,冻雨,大,0.103,[61 61]
3,24,初中,男,175.3,89.8,轻,未婚,父母健在,没有孩子,平原,堵车,烈风,冰雹,中,0.344,[74 59]
4,31,高中及以上,男,175.3,91.6,重,已婚,父母健在,有多个子女,有山,通畅,轻风,冻雨,大,0.354,[67 65]
5,29,初中,男,182.9,133.8,重,未婚,父母健在,没有孩子,有山,通畅,轻风,暴雨,中,0.234,[68 65]
6,32,小学及以下,男,172.7,72.1,中,未婚,父母健在,没有孩子,有山,堵车,微风,雾,大,0.233,[60 75]
7,22,初中,男,185.4,98.0,中,已婚,父母健在,有多个子女,有山,通畅,强风,晴,大,0.44,[63 63]
8,51,高中及以上,男,170.2,88.0,轻,未婚,父母健在,没有孩子,平原,通畅,轻风,小雨,大,0.078,[64 69]
9,24,初中,男,180.3,81.6,轻,已婚,父母健在,有多个子女,平原,通畅,劲风,小雪,中,0.425,[72 77]
10,21,高中及以上,男,180.3,73.0,中,未婚,父母健在,没有孩子,有山,堵车,疾风,大雨,中,0.446,[64 74]
11,28,高中及以上,男,172.7,89.8,中,未婚,父母健在,没有孩子,有山,通畅,大风,小雨,小,0.119,[51 70]
12,46,高中及以上,男,182.9,85.3,轻,未婚,父母健在,没有孩子,有山,通畅,暴风,霜冻,小,0.32299999999999995,[67 78]
13,47,高中及以上,男,193.0,81.2,中,未婚,父母健在,没有孩子,有山,堵车,暴风,中雪,大,0.095,[69 76]
14,42,高中及以上,男,177.8,89.8,轻,未婚,父母健在,没有孩子,有山,堵车,微风,多云,小,0.151,[52 77]
15,28,高中及以上,男,167.6,92.5,中,未婚,父母健在,没有孩子,平原,堵车,大风,阴天,中,0.321,[76 64]
16,34,初中,男,188.0,99.3,重,未婚,父母健在,没有孩子,有山,堵车,大风,暴雨,中,0.397,[50 69]
17,39,高中及以上,男,182.9,88.9,重,未婚,父母健在,没有孩子,有山,堵车,无风,小雨,小,0.098,[51 78]
18,45,初中,男,172.7,102.1,重,已婚,父母健在,没有孩子,有山,通畅,疾风,大到暴雪,中,0.156,[67 60]
19,21,初中,男,167.6,78.9,重,已婚,父母健在,有一子女,平原,通畅,疾风,暴雨,中,0.473,[60 64]
20,24,初中,男,167.6,67.6,重,未婚,父母健在,没有孩子,有山,通畅,大风,大到暴雪,小,0.341,[56 59]
21,40,初中,男,177.8,134.3,重,已婚,父母健在,有多个子女,有山,堵车,大风,小雪,中,0.394,[63 53]
22,27,高中及以上,男,167.6,70.3,中,已婚,父母健在,有多个子女,平原,堵车,疾风,大到暴雪,小,0.212,[62 68]
23,30,小学及以下,男,180.3,105.7,轻,未婚,父母健在,没有孩子,有山,堵车,暴风,雾,大,0.231,[55 79]
24,22,初中,男,177.8,88.0,重,未婚,父母健在,没有孩子,有山,堵车,狂风,多云,大,0.322,[69 53]
25,20,初中,男,167.6,70.8,中,未婚,父母健在,没有孩子,有山,通畅,暴风,大到暴雪,小,0.16699999999999998,[51 64]
26,20,初中,男,165.1,83.0,重,已婚,父母健在,没有孩子,平原,通畅,无风,雾,大,0.077,[76 77]
27,22,初中,男,170.2,63.5,重,已婚,父母健在,没有孩子,平原,通畅,大风,冰雹,大,0.227,[50 66]
28,20,高中及以上,男,175.3,81.2,轻,未婚,父母健在,没有孩子,平原,通畅,无风,雾,小,0.43,[73 61]
29,22,初中,男,177.8,71.2,轻,已婚,父母健在,没有孩子,平原,堵车,大风,雷阵雨,中,0.21,[51 72]
30,31,高中及以上,男,177.8,100.7,中,已婚,父母健在,有多个子女,平原,堵车,轻风,冰雹,大,0.165,[59 56]
31,31,初中,男,172.7,88.5,重,未婚,父母健在,没有孩子,平原,堵车,大风,冻雨,小,0.28600000000000003,[71 72]
32,39,小学及以下,男,182.9,97.5,重,已婚,父母健在,没有孩子,平原,堵车,强风,中雨,小,0.24,[72 72]
33,40,初中,男,174.42525773195874,105.2,重,已婚,父母健在,有一子女,平原,堵车,微风,霜冻,中,0.353,[74 61]
34,19,初中,男,167.6,115.2,重,已婚,父母健在,有多个子女,有山,通畅,无风,中雨,中,0.226,[71 74]
35,30,初中,女,160.0,85.7,轻,未婚,父母健在,没有孩子,平原,堵车,劲风,雷阵雨,小,0.2,[56 60]
36,27,初中,男,170.2,84.4,重,未婚,父母健在,没有孩子,有山,通畅,台风,霜冻,大,0.249,[61 52]
37,30,小学及以下,男,157.5,86.2,轻,已婚,父母健在,有一子女,平原,堵车,劲风,雾,大,0.16,[78 70]
