index,Age,Education Level,Gender,Height,Weight,Criminal Level,Marital Status,Parent Situation,Child Situation,Terrain,Road Condition,Wind Speed,Weather,Human,Video Result,Heart Speed,Result
0,30,初中,男,165.1,80.3,轻,已婚,父母健在,有多个子女,平原,通畅,狂风,大到暴雪,大,0.39399999999999996,1,危险等级1
1,49,高中及以上,男,175.3,98.4,中,未婚,父母健在,没有孩子,有山,堵车,台风,多云,中,0.321,1,危险等级1
2,29,高中及以上,男,177.8,88.0,轻,未婚,父母健在,没有孩子,平原,通畅,台风,冻雨,大,0.10300000000000001,1,危险等级0
3,24,初中,男,175.3,89.8,轻,未婚,父母健在,没有孩子,平原,堵车,烈风,冰雹,中,0.344,1,危险等级1
4,31,高中及以上,男,175.3,91.6,重,已婚,父母健在,有多个子女,有山,通畅,轻风,冻雨,大,0.354,1,危险等级1
5,29,初中,男,182.9,133.8,重,未婚,父母健在,没有孩子,有山,通畅,轻风,暴雨,中,0.23399999999999999,1,危险等级1
6,32,小学及以下,男,172.7,72.1,中,未婚,父母健在,没有孩子,有山,堵车,微风,雾,大,0.233,1,危险等级1
7,22,初中,男,185.4,98.0,中,已婚,父母健在,有多个子女,有山,通畅,强风,晴,大,0.44,1,危险等级1
8,51,高中及以上,男,170.2,88.0,轻,未婚,父母健在,没有孩子,平原,通畅,轻风,小雨,大,0.078,1,危险等级0
9,24,初中,男,180.3,81.6,轻,已婚,父母健在,有多个子女,平原,通畅,劲风,小雪,中,0.425,1,危险等级1
10,21,高中及以上,男,180.3,73.0,中,未婚,父母健在,没有孩子,有山,堵车,疾风,大雨,中,0.446,1,危险等级1
11,28,高中及以上,男,172.7,89.8,中,未婚,父母健在,没有孩子,有山,通畅,大风,小雨,小,0.11900000000000001,1,危险等级0
12,46,高中及以上,男,182.9,85.3,轻,未婚,父母健在,没有孩子,有山,通畅,暴风,霜冻,小,0.32299999999999995,1,危险等级1
13,47,高中及以上,男,193.0,81.2,中,未婚,父母健在,没有孩子,有山,堵车,暴风,中雪,大,0.095,1,危险等级0
14,42,高中及以上,男,177.8,89.8,轻,未婚,父母健在,没有孩子,有山,堵车,微风,多云,小,0.151,1,危险等级0
15,28,高中及以上,男,167.6,92.5,中,未婚,父母健在,没有孩子,平原,堵车,大风,阴天,中,0.321,1,危险等级1
16,34,初中,男,188.0,99.3,重,未婚,父母健在,没有孩子,有山,堵车,大风,暴雨,中,0.397,1,危险等级1
17,39,高中及以上,男,182.9,88.9,重,未婚,父母健在,没有孩子,有山,堵车,无风,小雨,小,0.098,1,危险等级0
18,45,初中,男,172.7,102.1,重,已婚,父母健在,没有孩子,有山,通畅,疾风,大到暴雪,中,0.156,1,危险等级1
19,21,初中,男,167.6,78.9,重,已婚,父母健在,有一子女,平原,通畅,疾风,暴雨,中,0.473,1,危险等级1
20,24,初中,男,167.6,67.6,重,未婚,父母健在,没有孩子,有山,通畅,大风,大到暴雪,小,0.341,1,危险等级1
21,40,初中,男,177.8,134.3,重,已婚,父母健在,有多个子女,有山,堵车,大风,小雪,中,0.39399999999999996,1,危险等级1
22,27,高中及以上,男,167.6,70.3,中,已婚,父母健在,有多个子女,平原,堵车,疾风,大到暴雪,小,0.212,1,危险等级1
23,30,小学及以下,男,180.3,105.7,轻,未婚,父母健在,没有孩子,有山,堵车,暴风,雾,大,0.231,1,危险等级1
24,22,初中,男,177.8,88.0,重,未婚,父母健在,没有孩子,有山,堵车,狂风,多云,大,0.322,1,危险等级1
25,20,初中,男,167.6,70.8,中,未婚,父母健在,没有孩子,有山,通畅,暴风,大到暴雪,小,0.16699999999999998,1,危险等级1
26,20,初中,男,165.1,83.0,重,已婚,父母健在,没有孩子,平原,通畅,无风,雾,大,0.077,1,危险等级0
27,22,初中,男,170.2,63.5,重,已婚,父母健在,没有孩子,平原,通畅,大风,冰雹,大,0.22699999999999998,1,危险等级1
28,20,高中及以上,男,175.3,81.2,轻,未婚,父母健在,没有孩子,平原,通畅,无风,雾,小,0.43,1,危险等级1
29,22,初中,男,177.8,71.2,轻,已婚,父母健在,没有孩子,平原,堵车,大风,雷阵雨,中,0.21,1,危险等级1
30,31,高中及以上,男,177.8,100.7,中,已婚,父母健在,有多个子女,平原,堵车,轻风,冰雹,大,0.165,1,危险等级1
31,31,初中,男,172.7,88.5,重,未婚,父母健在,没有孩子,平原,堵车,大风,冻雨,小,0.28600000000000003,1,危险等级1
32,39,小学及以下,男,182.9,97.5,重,已婚,父母健在,没有孩子,平原,堵车,强风,中雨,小,0.24,1,危险等级1
33,40,初中,男,174.42525773195874,105.2,重,已婚,父母健在,有一子女,平原,堵车,微风,霜冻,中,0.353,1,危险等级1
34,19,初中,男,167.6,115.2,重,已婚,父母健在,有多个子女,有山,通畅,无风,中雨,中,0.226,1,危险等级1
35,30,初中,女,160.0,85.7,轻,未婚,父母健在,没有孩子,平原,堵车,劲风,雷阵雨,小,0.2,1,危险等级1
36,27,初中,男,170.2,84.4,重,未婚,父母健在,没有孩子,有山,通畅,台风,霜冻,大,0.249,1,危险等级1
37,30,小学及以下,男,157.5,86.2,轻,已婚,父母健在,有一子女,平原,堵车,劲风,雾,大,0.16,1,危险等级1
38,36,初中,男,175.3,88.5,轻,已婚,父母健在,有一子女,有山,堵车,轻风,多云,小,0.316,1,危险等级1
39,19,初中,男,170.2,82.6,中,已婚,父母健在,有一子女,平原,堵车,和风,雾,大,0.392,1,危险等级1
40,19,初中,男,175.3,63.0,重,已婚,父母健在,有一子女,有山,堵车,狂风,冻雨,小,0.201,1,危险等级1
41,45,高中及以上,女,157.5,64.0,轻,未婚,父母健在,没有孩子,有山,堵车,暴风,阴天,大,0.166,1,危险等级1
42,38,初中,男,175.3,76.7,重,已婚,父母健在,有一子女,有山,通畅,烈风,暴雨,大,0.489,1,危险等级1
43,29,高中及以上,男,175.3,85.3,重,未婚,父母健在,没有孩子,有山,堵车,和风,中雪,中,0.06,1,危险等级0
44,24,初中,男,172.7,90.7,中,未婚,父母健在,没有孩子,平原,通畅,烈风,中雪,中,0.348,1,危险等级1
45,20,初中,男,170.2,66.7,轻,未婚,父母健在,没有孩子,平原,堵车,疾风,中雨,小,0.155,1,危险等级1
46,41,高中及以上,男,167.6,89.8,重,未婚,父母健在,没有孩子,有山,堵车,暴风,霜冻,大,0.133,1,危险等级0
47,31,高中及以上,男,167.6,68.0,轻,未婚,父母健在,没有孩子,平原,堵车,台风,小雨,中,0.342,1,危险等级1
48,28,初中,男,172.7,69.4,重,未婚,父母健在,没有孩子,有山,通畅,台风,雷阵雨,大,0.337,1,危险等级1
49,37,高中及以上,女,160.0,85.3,中,未婚,父母健在,没有孩子,有山,通畅,台风,中雨,小,0.39399999999999996,1,危险等级1
50,29,高中及以上,男,177.8,72.6,中,已婚,父母健在,有一子女,有山,堵车,台风,晴,小,0.37799999999999995,1,危险等级1
51,24,高中及以上,男,172.7,69.4,重,已婚,父母健在,有多个子女,平原,通畅,微风,冻雨,大,0.47700000000000004,1,危险等级1
52,26,小学及以下,男,170.2,80.7,中,未婚,父母健在,没有孩子,平原,通畅,狂风,晴,中,0.419,1,危险等级1
53,19,高中及以上,男,177.8,68.0,重,未婚,父母健在,没有孩子,有山,通畅,微风,大到暴雪,小,0.185,1,危险等级1
54,29,初中,男,182.9,78.9,中,未婚,父母健在,没有孩子,有山,堵车,无风,中雨,小,0.489,1,危险等级1
55,31,初中,男,160.0,66.2,轻,已婚,父母健在,有一子女,有山,堵车,强风,冰雹,中,0.218,1,危险等级1
56,30,初中,男,175.3,73.9,中,未婚,父母健在,没有孩子,平原,通畅,台风,暴雨,中,0.196,1,危险等级1
57,25,高中及以上,男,170.2,63.0,轻,未婚,父母健在,没有孩子,有山,通畅,大风,霜冻,大,0.409,1,危险等级1
58,33,高中及以上,男,185.4,101.2,中,已婚,父母健在,有一子女,平原,堵车,无风,冰雹,中,0.425,1,危险等级1
59,34,高中及以上,男,180.3,130.6,重,已婚,父母健在,有一子女,平原,通畅,和风,大雨,中,0.46,1,危险等级1
60,40,高中及以上,男,177.8,117.9,中,已婚,父母健在,没有孩子,平原,通畅,强风,雨夹雪,大,0.09,1,危险等级0
61,28,初中,男,182.9,82.6,中,未婚,父母健在,没有孩子,平原,堵车,大风,暴雨,中,0.042,1,危险等级0
62,20,初中,男,172.7,83.5,中,未婚,父母健在,没有孩子,有山,通畅,无风,晴,中,0.243,1,危险等级1
63,21,初中,男,174.42525773195874,81.2,轻,未婚,父母健在,没有孩子,有山,通畅,劲风,雷阵雨,大,0.34700000000000003,1,危险等级1
64,38,初中,男,160.0,65.8,轻,未婚,父母健在,没有孩子,平原,通畅,疾风,冰雹,中,0.318,1,危险等级1
65,43,初中,男,170.2,99.8,中,已婚,父母健在,没有孩子,有山,通畅,无风,冰雹,小,0.33,1,危险等级1
66,31,高中及以上,男,177.8,97.1,重,未婚,父母健在,没有孩子,有山,堵车,劲风,冻雨,大,0.07200000000000001,1,危险等级0
67,30,初中,男,170.2,91.6,中,未婚,父母健在,没有孩子,平原,通畅,疾风,雷阵雨,大,0.10300000000000001,1,危险等级0
68,36,初中,男,162.6,87.5,中,已婚,父母健在,没有孩子,有山,通畅,劲风,雾,大,0.263,1,危险等级1
69,29,高中及以上,男,167.6,76.7,中,已婚,父母健在,有一子女,有山,堵车,劲风,小雨,小,0.384,1,危险等级1
70,32,高中及以上,男,167.6,81.6,重,已婚,父母健在,有一子女,有山,堵车,轻风,中雪,大,0.28300000000000003,1,危险等级1
71,22,初中,男,172.7,68.9,重,已婚,父母健在,没有孩子,平原,通畅,台风,冰雹,小,0.037000000000000005,1,危险等级0
72,25,初中,男,167.6,78.9,轻,已婚,父母健在,有一子女,有山,堵车,轻风,暴雨,中,0.478,1,危险等级1
73,32,初中,男,175.3,101.2,重,未婚,父母健在,没有孩子,有山,堵车,轻风,小雪,中,0.17800000000000002,1,危险等级1
74,20,初中,男,188.0,87.5,重,未婚,父母健在,没有孩子,有山,通畅,无风,雾,中,0.44,1,危险等级1
75,21,初中,男,175.3,93.9,中,已婚,父母健在,没有孩子,有山,堵车,狂风,冰雹,中,0.252,1,危险等级1
76,38,初中,男,175.3,99.3,中,已婚,父母健在,有一子女,平原,通畅,强风,小雨,大,0.433,1,危险等级1
77,34,高中及以上,男,174.42525773195874,109.3,轻,未婚,父母健在,没有孩子,平原,堵车,微风,冰雹,大,0.031,1,危险等级0
