index,Age,Education Level,Gender,Height,Weight,Criminal Level,Marital Status,Parent Situation,Child Situation,Terrain,Road Condition,Wind Speed,Weather,Human,Video Result,Heart Speed,Result
0,30,1,0,165.1,80.3,0,0,2,0,0,0,2,11,2,0.2,80,0.3363755443363322
1,49,2,0,175.3,98.4,2,2,0,2,1,1,11,6,1,0.11800000000000001,104,0.32094475656485255
2,29,2,0,177.8,88.0,1,1,1,0,1,0,7,7,0,0.618,66,0.5375474841661803
3,24,1,0,175.3,89.8,1,0,0,0,0,0,3,1,0,0.884,117,0.6352086071789488
4,31,2,0,175.3,91.6,0,0,2,0,0,1,6,8,2,0.456,65,0.45730632443195035
5,29,1,0,182.9,133.8,0,0,2,0,0,1,12,6,1,0.9470000000000001,119,0.7133883459229705
6,32,0,0,172.7,72.1,0,1,0,0,1,0,12,8,2,0.955,84,0.633206044734802
7,22,1,0,185.4,98.0,0,1,2,2,1,1,11,2,0,0.42700000000000005,79,0.4590050241285061
8,51,2,0,170.2,88.0,0,0,0,0,1,1,6,10,2,0.345,129,0.39503323681161734
9,24,1,0,180.3,81.6,1,2,0,2,0,0,12,1,0,0.218,94,0.36504996474550455
10,21,2,0,180.3,73.0,0,1,1,1,0,1,9,13,1,0.972,115,0.7183851729260948
11,28,2,0,172.7,89.8,2,3,0,1,1,0,10,13,0,0.55,66,0.4272273261143293
12,46,2,0,182.9,85.3,1,1,0,1,0,0,3,10,0,0.8440000000000001,119,0.6212879532427323
13,47,2,0,193.0,81.2,0,1,2,0,1,1,8,2,2,0.289,61,0.36214284640213656
14,42,2,0,177.8,89.8,1,0,2,0,1,1,6,2,0,0.433,69,0.4501991304398944
15,28,2,0,167.6,92.5,0,0,2,0,0,0,7,12,2,0.659,101,0.5914218710586899
16,34,1,0,188.0,99.3,1,3,2,0,0,0,6,1,2,0.909,96,0.6830716385374408
17,39,2,0,182.9,88.9,1,1,1,0,0,0,0,15,2,0.33,121,0.45896555750337875
18,45,1,0,172.7,102.1,1,3,0,2,0,0,11,0,2,0.9,88,0.6150475942099285
19,21,1,0,167.6,78.9,0,3,2,1,0,1,9,9,2,0.488,96,0.5088672407811989
20,24,1,0,167.6,67.6,0,3,2,2,0,0,1,2,2,0.319,76,0.3980671246242823
21,40,1,0,177.8,134.3,1,0,1,0,1,0,7,4,2,0.614,88,0.5588091860795095
22,27,2,0,167.6,70.3,2,1,0,0,0,1,10,9,0,0.151,62,0.188855429955306
23,30,0,0,180.3,105.7,0,0,2,0,1,0,1,4,0,0.095,125,0.3357102379966112
24,22,1,0,177.8,88.0,0,3,1,2,0,0,6,8,1,0.897,91,0.6748248741296379
25,20,1,0,167.6,70.8,0,3,2,2,0,1,10,14,0,0.8340000000000001,86,0.6475686258471989
26,20,1,0,165.1,83.0,0,2,1,2,1,0,6,0,1,0.715,113,0.6827514594707429
27,22,1,0,170.2,63.5,2,1,2,2,0,1,12,8,0,0.8809999999999999,87,0.6657941123735057
28,20,2,0,175.3,81.2,0,0,1,0,1,0,3,13,2,0.583,70,0.5255304422374837
29,22,1,0,177.8,71.2,0,1,1,2,1,0,10,3,2,0.542,94,0.532264851065333
30,31,2,0,177.8,100.7,2,3,2,2,0,1,4,6,2,0.45,86,0.47885688639015916
31,31,1,0,172.7,88.5,2,0,2,0,1,0,3,12,2,0.9440000000000001,95,0.6942428333095649
32,39,0,0,182.9,97.5,0,0,2,0,1,0,7,2,1,0.7240000000000001,119,0.6346117182035313
33,40,1,0,174.42525773195877,105.2,1,2,0,0,0,0,0,6,0,0.977,92,0.7029204449839841
34,19,1,0,167.6,115.2,0,3,0,0,0,1,9,13,1,0.7929999999999999,89,0.570962688676957
35,30,1,1,160.0,85.7,2,0,2,0,1,1,9,10,0,0.7090000000000001,63,0.5752605352649955
36,27,1,0,170.2,84.4,1,3,2,2,1,0,6,12,2,0.785,68,0.6120858105347687
37,30,0,0,157.5,86.2,1,0,1,0,0,1,3,1,0,0.21,63,0.31941903500416446
38,36,1,0,175.3,88.5,0,2,0,2,1,0,9,2,2,0.858,59,0.6328764524254212
39,19,1,0,170.2,82.6,2,1,2,2,0,1,1,7,1,0.993,97,0.7118626377903818
40,19,1,0,175.3,63.0,2,2,2,2,0,0,6,9,1,0.013000000000000001,102,0.3464905937881417
41,45,2,1,157.5,64.0,1,1,1,0,1,0,0,8,2,0.044000000000000004,109,0.28406650522454874
42,38,1,0,175.3,76.7,2,3,2,0,1,1,6,11,1,0.273,124,0.4328918793916974
43,29,2,0,175.3,85.3,1,3,2,2,0,0,1,6,2,0.5529999999999999,86,0.5287799155606494
44,24,1,0,172.7,90.7,0,2,0,1,0,1,4,3,1,0.609,126,0.5946633594628139
