Age,Education Level,Gender,Height,Weight,Criminal Level,Marital Status,Parent Situation,Child Situation,Terrain,Road Condition,Wind Speed,Weather,Human,Video Result,Heart Speed,Result
31.0,2.0,0.0,177.8,97.1,0.0,3.0,0.0,0.0,1.0,0.0,2.0,14.0,0.0,0.47,57.0,0.3722219991428283
46.0,1.0,0.0,188.0,86.2,0.0,2.0,0.0,1.0,0.0,0.0,9.0,3.0,2.0,0.921,125.0,0.7094869307782875
30.0,1.0,0.0,170.2,91.6,2.0,0.0,0.0,0.0,0.0,1.0,12.0,2.0,1.0,0.945,72.0,0.6183010702434812
21.0,1.0,0.0,174.42525773195874,81.2,2.0,0.0,1.0,0.0,0.0,1.0,11.0,15.0,2.0,0.326,83.0,0.4106559711136867
51.0,2.0,0.0,175.3,89.8,1.0,2.0,2.0,1.0,0.0,1.0,5.0,15.0,1.0,0.513,72.0,0.5658860324431682
25.0,2.0,0.0,182.9,81.6,2.0,0.0,1.0,0.0,1.0,1.0,10.0,11.0,1.0,0.272,99.0,0.4013859820367273
38.0,1.0,0.0,160.0,59.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,10.0,1.0,0.511,94.0,0.5176688961423799
24.0,1.0,0.0,165.1,73.9,2.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,2.0,0.412,90.0,0.4643163595555522
32.0,1.0,0.0,170.2,104.8,1.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,0.924,122.0,0.7082182360638788
38.0,1.0,0.0,160.0,65.8,2.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.078,67.0,0.15005822335183192
26.0,1.0,0.0,187.9,59.4,2.0,3.0,1.0,0.0,1.0,0.0,4.0,5.0,1.0,0.971,71.0,0.6845623403072131
37.0,1.0,0.0,172.7,103.9,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,2.0,0.249,73.0,0.2648805654304476
19.0,1.0,0.0,170.2,83.5,2.0,2.0,2.0,1.0,1.0,1.0,11.0,6.0,0.0,0.025,84.0,0.3294846192008831
51.0,2.0,0.0,175.3,89.8,0.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,2.0,0.852,113.0,0.7274548192058595
24.0,1.0,0.0,172.7,90.7,2.0,0.0,1.0,0.0,1.0,0.0,12.0,5.0,1.0,0.232,59.0,0.3268523206333145
21.0,1.0,0.0,167.6,78.9,0.0,1.0,0.0,2.0,0.0,1.0,1.0,8.0,2.0,0.242,99.0,0.29661139452143304
37.0,2.0,0.0,180.3,103.9,0.0,3.0,2.0,1.0,0.0,0.0,1.0,13.0,0.0,0.73,62.0,0.5833329814597089
20.0,1.0,0.0,165.1,83.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,15.0,1.0,0.585,109.0,0.5674474753088532
21.0,2.0,0.0,177.8,68.5,0.0,1.0,1.0,2.0,0.0,0.0,4.0,7.0,1.0,0.179,123.0,0.3806760202401063
46.0,1.0,1.0,167.6,53.5,2.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,1.0,0.701,125.0,0.5670405347896047
24.0,1.0,0.0,165.1,73.9,0.0,0.0,1.0,0.0,1.0,0.0,3.0,10.0,1.0,0.725,98.0,0.6158241423589585
29.0,2.0,0.0,167.6,76.7,2.0,1.0,2.0,2.0,0.0,0.0,5.0,7.0,1.0,0.455,119.0,0.5184736583627486
33.0,2.0,0.0,185.4,113.4,1.0,2.0,1.0,0.0,1.0,0.0,3.0,13.0,1.0,0.034,65.0,0.3091451942628441
20.0,2.0,0.0,175.3,81.2,1.0,1.0,1.0,2.0,0.0,1.0,5.0,15.0,2.0,0.636,75.0,0.5552225885171181
30.0,2.0,0.0,172.7,75.7,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.828,126.0,0.6789696732494781
33.0,2.0,0.0,185.4,113.4,1.0,1.0,0.0,1.0,0.0,1.0,7.0,13.0,0.0,0.187,75.0,0.2298679067958596
21.0,1.0,0.0,177.8,79.8,2.0,3.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,0.055,115.0,0.20529085601732386
40.0,2.0,0.0,180.3,79.4,1.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,0.8270000000000001,113.0,0.608823631930177
36.0,0.0,0.0,177.8,101.6,2.0,2.0,0.0,0.0,1.0,1.0,5.0,4.0,0.0,0.157,113.0,0.3553467372018581
30.0,0.0,0.0,157.5,86.2,1.0,1.0,1.0,1.0,1.0,0.0,5.0,4.0,1.0,0.273,105.0,0.4094497793043027
19.0,1.0,0.0,167.6,115.2,0.0,3.0,0.0,0.0,1.0,1.0,10.0,5.0,2.0,0.992,79.0,0.6430166177846386
44.0,1.0,0.0,172.7,76.2,2.0,0.0,0.0,0.0,1.0,0.0,11.0,3.0,2.0,0.852,70.0,0.5775642638747859
21.0,0.0,0.0,182.9,67.1,2.0,1.0,2.0,1.0,0.0,0.0,8.0,10.0,1.0,0.166,77.0,0.3125779762188505
23.0,0.0,0.0,175.3,83.9,1.0,0.0,2.0,0.0,1.0,1.0,10.0,3.0,0.0,0.046,90.0,0.2588729278695617
24.0,2.0,0.0,180.3,78.9,1.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.53,108.0,0.5416586679915262
24.0,2.0,0.0,180.3,78.9,2.0,0.0,2.0,0.0,1.0,1.0,3.0,8.0,2.0,0.767,124.0,0.6553105365965687
19.0,1.0,0.0,172.7,70.8,0.0,3.0,1.0,1.0,1.0,0.0,9.0,6.0,1.0,0.569,88.0,0.5383646777411378
24.0,1.0,0.0,180.3,88.0,0.0,2.0,2.0,2.0,1.0,1.0,11.0,0.0,2.0,0.564,75.0,0.5909339896145253
31.0,0.0,0.0,180.3,79.4,0.0,2.0,0.0,2.0,0.0,1.0,7.0,12.0,0.0,0.376,89.0,0.4445602152497643
19.0,1.0,0.0,175.3,63.0,1.0,1.0,0.0,2.0,1.0,1.0,12.0,3.0,1.0,0.385,72.0,0.3436716561980261
31.0,2.0,0.0,175.3,91.6,0.0,2.0,0.0,1.0,1.0,1.0,11.0,12.0,1.0,0.612,128.0,0.5978535016272362
36.0,1.0,0.0,175.3,88.5,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.064,91.0,0.17624050194891416
28.0,2.0,0.0,167.6,92.5,2.0,2.0,0.0,2.0,1.0,0.0,10.0,1.0,2.0,0.78,113.0,0.6506932055495278
30.0,1.0,0.0,182.9,86.1,2.0,3.0,0.0,1.0,1.0,1.0,3.0,14.0,2.0,0.287,70.0,0.2835608078457767
34.0,2.0,0.0,174.42525773195874,109.3,0.0,2.0,1.0,1.0,1.0,0.0,12.0,12.0,0.0,0.865,118.0,0.7348774766860345
31.0,2.0,0.0,177.8,71.7,2.0,3.0,1.0,2.0,0.0,0.0,8.0,5.0,1.0,0.5489999999999999,66.0,0.504891816254041
24.0,2.0,0.0,180.3,78.9,0.0,0.0,2.0,0.0,0.0,1.0,8.0,11.0,2.0,0.527,116.0,0.5487213723486972
33.0,2.0,0.0,185.4,113.4,2.0,1.0,2.0,1.0,1.0,0.0,5.0,15.0,1.0,0.7440000000000001,104.0,0.6289034300469322
21.0,2.0,0.0,177.8,68.5,2.0,0.0,1.0,0.0,1.0,0.0,3.0,7.0,0.0,0.381,80.0,0.4362986048434633
23.0,2.0,1.0,163.6,58.1,2.0,0.0,2.0,0.0,0.0,1.0,9.0,13.0,2.0,0.431,128.0,0.5169364983329802
24.0,2.0,0.0,180.3,78.9,0.0,2.0,2.0,2.0,0.0,1.0,10.0,8.0,2.0,0.429,66.0,0.5211010092846252
35.0,2.0,0.0,177.8,63.5,2.0,1.0,2.0,1.0,0.0,0.0,0.0,9.0,1.0,0.443,81.0,0.4695165548541845
23.0,0.0,0.0,175.3,83.9,0.0,0.0,2.0,0.0,1.0,1.0,3.0,7.0,1.0,0.39,94.0,0.4577807167648356
28.0,2.0,0.0,175.3,90.7,1.0,3.0,1.0,2.0,1.0,0.0,3.0,10.0,2.0,0.647,96.0,0.581383450532603
23.0,2.0,0.0,170.2,88.5,0.0,0.0,1.0,0.0,1.0,0.0,5.0,6.0,1.0,0.634,128.0,0.6069637622778357
34.0,2.0,0.0,174.42525773195874,109.3,2.0,0.0,2.0,0.0,1.0,1.0,8.0,2.0,0.0,0.203,79.0,0.3367745670816539
25.0,1.0,0.0,180.3,70.3,2.0,1.0,0.0,0.0,1.0,1.0,8.0,14.0,0.0,0.327,108.0,0.3579651241300271
29.0,1.0,0.0,182.9,78.9,0.0,0.0,2.0,0.0,1.0,0.0,2.0,14.0,1.0,0.938,58.0,0.6621878433328803
21.0,2.0,0.0,170.2,74.8,2.0,0.0,2.0,0.0,1.0,1.0,3.0,9.0,2.0,0.7659999999999999,122.0,0.6532229791055406
20.0,2.0,0.0,170.2,61.2,2.0,3.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.042,58.0,0.1138048304252934
23.0,2.0,0.0,177.8,90.7,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.106,65.0,0.16488100720214166
29.0,2.0,0.0,177.8,72.6,1.0,2.0,0.0,1.0,0.0,1.0,7.0,15.0,0.0,0.381,86.0,0.4435567003501572
21.0,2.0,0.0,185.4,68.0,0.0,1.0,1.0,0.0,1.0,1.0,11.0,13.0,1.0,0.675,92.0,0.5894024926549672
34.0,2.0,0.0,187.9,83.5,1.0,0.0,1.0,0.0,1.0,1.0,7.0,12.0,2.0,0.7070000000000001,58.0,0.5693428682706436
41.0,2.0,0.0,167.6,89.8,0.0,1.0,2.0,0.0,0.0,0.0,7.0,4.0,2.0,0.936,126.0,0.7150295257857953
29.0,2.0,0.0,167.6,76.7,0.0,3.0,0.0,0.0,1.0,0.0,10.0,1.0,2.0,0.578,60.0,0.4347184576065786
30.0,1.0,0.0,170.2,91.6,0.0,3.0,2.0,0.0,0.0,1.0,10.0,11.0,0.0,0.785,76.0,0.6195349503525958
31.0,0.0,0.0,172.7,92.1,1.0,1.0,0.0,1.0,1.0,0.0,11.0,12.0,1.0,0.8240000000000001,60.0,0.5550150355887624
31.0,2.0,0.0,177.8,71.7,2.0,2.0,1.0,0.0,1.0,1.0,6.0,12.0,2.0,0.53,62.0,0.563194927804731
24.0,1.0,0.0,172.7,90.7,0.0,1.0,0.0,2.0,1.0,1.0,7.0,15.0,1.0,0.994,96.0,0.6584656819795741
32.0,1.0,0.0,170.2,104.8,0.0,2.0,0.0,2.0,1.0,0.0,11.0,12.0,1.0,0.909,73.0,0.6642323941030703
37.0,2.0,1.0,160.0,85.3,0.0,1.0,2.0,2.0,0.0,0.0,3.0,15.0,1.0,0.12,91.0,0.3045253613318594
23.0,1.0,0.0,177.8,93.9,2.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,2.0,0.687,97.0,0.5992973421580747
27.0,1.0,0.0,170.2,81.6,2.0,0.0,2.0,0.0,0.0,1.0,5.0,4.0,1.0,0.179,84.0,0.3295737602520964
37.0,2.0,0.0,180.3,103.9,2.0,2.0,0.0,1.0,0.0,1.0,0.0,12.0,1.0,0.7190000000000001,56.0,0.5725780758530152
31.0,0.0,0.0,180.3,79.4,0.0,2.0,1.0,1.0,0.0,1.0,8.0,8.0,0.0,0.873,73.0,0.7048880621100744
38.0,1.0,0.0,175.3,99.3,0.0,3.0,1.0,2.0,0.0,0.0,0.0,8.0,1.0,0.815,90.0,0.6438662929364731
34.0,1.0,0.0,182.9,81.6,2.0,3.0,2.0,2.0,0.0,1.0,6.0,2.0,2.0,0.8590000000000001,113.0,0.6793198687670953
31.0,2.0,0.0,177.8,71.7,0.0,3.0,2.0,1.0,0.0,1.0,6.0,5.0,0.0,0.5770000000000001,64.0,0.5161299857285315
26.0,0.0,0.0,172.7,62.1,0.0,0.0,1.0,0.0,0.0,0.0,11.0,13.0,1.0,0.118,126.0,0.3502248354573349
20.0,1.0,0.0,188.0,87.5,2.0,0.0,2.0,0.0,1.0,0.0,11.0,7.0,2.0,0.473,104.0,0.5105327028930706
31.0,1.0,0.0,175.1,70.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,5.0,1.0,0.611,74.0,0.5428235255725216
28.0,2.0,0.0,160.0,78.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,5.0,2.0,0.525,111.0,0.4681902553605653
21.0,1.0,0.0,172.7,83.1,2.0,0.0,2.0,0.0,0.0,0.0,5.0,8.0,2.0,0.878,84.0,0.6621878433328803
22.0,2.0,0.0,177.8,101.6,2.0,3.0,0.0,2.0,0.0,0.0,11.0,11.0,0.0,0.818,104.0,0.596502407825163
30.0,1.0,0.0,175.3,68.0,0.0,2.0,1.0,2.0,1.0,0.0,4.0,2.0,1.0,0.07200000000000001,93.0,0.3681661147857451
20.0,2.0,0.0,175.3,59.9,0.0,0.0,0.0,0.0,1.0,1.0,9.0,15.0,1.0,0.477,64.0,0.385113641894026
21.0,1.0,0.0,172.7,83.1,0.0,1.0,0.0,1.0,0.0,1.0,2.0,8.0,2.0,0.556,57.0,0.4193474724960633
38.0,1.0,0.0,160.0,65.8,1.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.417,83.0,0.4586102763718875
30.0,0.0,0.0,157.5,86.2,1.0,2.0,1.0,2.0,0.0,1.0,10.0,1.0,1.0,0.122,109.0,0.4159626663226171
25.0,1.0,1.0,162.7,54.9,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,2.0,0.8759999999999999,63.0,0.6433683997989676
22.0,2.0,0.0,177.8,101.6,0.0,2.0,0.0,0.0,1.0,0.0,3.0,13.0,2.0,0.606,81.0,0.5479171246152715
37.0,2.0,1.0,160.0,85.3,1.0,1.0,0.0,0.0,1.0,0.0,5.0,15.0,2.0,0.8320000000000001,116.0,0.613677966965437
24.0,2.0,0.0,177.8,74.8,0.0,1.0,1.0,1.0,0.0,0.0,8.0,7.0,2.0,0.693,80.0,0.5852758143009672
25.0,1.0,0.0,175.3,71.2,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,1.0,0.031,115.0,0.1903015196577647
22.0,1.0,0.0,177.8,88.0,2.0,1.0,2.0,0.0,1.0,0.0,8.0,4.0,0.0,0.884,72.0,0.6541965066430266
39.0,2.0,0.0,190.5,92.5,2.0,1.0,1.0,1.0,0.0,0.0,11.0,6.0,2.0,0.415,97.0,0.47402563955828003
20.0,1.0,0.0,165.1,83.0,2.0,3.0,2.0,1.0,1.0,0.0,9.0,0.0,2.0,0.206,122.0,0.39431563960036004
29.0,2.0,0.0,177.8,88.0,0.0,2.0,2.0,2.0,1.0,1.0,7.0,14.0,1.0,0.44,90.0,0.5518239026866011
22.0,1.0,0.0,177.8,71.2,2.0,1.0,1.0,1.0,1.0,1.0,12.0,3.0,1.0,0.495,88.0,0.5033254808805917
33.0,2.0,0.0,185.4,113.4,1.0,3.0,2.0,1.0,1.0,0.0,5.0,12.0,0.0,0.773,83.0,0.621195844467639
25.0,2.0,0.0,175.3,130.6,0.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,1.0,0.198,120.0,0.3873683074442016
40.0,1.0,0.0,177.8,134.3,2.0,2.0,1.0,0.0,1.0,1.0,11.0,13.0,1.0,0.033,117.0,0.3773362443259041
25.0,1.0,1.0,162.7,54.9,1.0,2.0,0.0,0.0,1.0,0.0,3.0,12.0,2.0,0.061,121.0,0.3105463870598318
19.0,1.0,0.0,170.2,82.6,0.0,0.0,1.0,0.0,1.0,0.0,4.0,5.0,2.0,0.7340000000000001,87.0,0.6091696496120906
